@relation Lov_dataset

@attribute alchemy_taxonomies string
@attribute alchemy_taxonomies2 string
@attribute alchemy_taxonomies3 string
@attribute alchemy_concepts string
@attribute alchemy_concepts2 string
@attribute alchemy_concepts3 string
@attribute lov_category {'Archives, Catalogs, Classification systems','Methods and Protocols, Units, Measures',Protocols,Quality,Metadata,'RDF Data','Support vocabularies','Vocabularies, Languages and Terminologies',Geography,People,'Social organization','Timeline, Calendar','General and Upper Ontologies','Semantic Publishing and Referencing Ontologies','FRBR, RDA, FRAD and related vocabularies','Life Sciences',Multimedia,Events,Geometry,'The Academy','Tagging vocabularies','W3C Recommendations',E-Business,Industry,Food,'Press and News',PLM,'Music and Sound',Contracts,Services,'Social Semantic Desktop','Sustainability and environmental management',Security,'The Government','PROTON Ontologies','Image and Video',Travel,Recommandations,Health,'CSV Data',Games}

@data
'/business and industrial','/hobbies and interests/reading',/society,Marketing,'Electronic commerce',Business-to-business,E-Business
'/art and entertainment/music','/art and entertainment/music/music genres/classical music','/art and entertainment/music/music genres/folk music','Semantic Web',Semantics,Ontology,'Music and Sound'
'/art and entertainment/music/musical instruments','/home and garden/home improvement and repair/locks and locksmiths','/art and entertainment/music/music genres/classical music',Music,Opera,'Performing arts',Events
'/technology and computing/software/databases','/technology and computing/programming languages/java','','Abstract syntax tree','Programming language','',Protocols
'/law, govt and politics','/law, govt and politics/government','/business and industrial/construction','Offer and acceptance','','',Contracts
/science/geography,'','',Pytheas,'Great Britain','Kingdom of Great Britain',Geography
'/health and fitness/nutrition','/business and industrial/chemicals industry/cleaning agents','/automotive and vehicles/boats and watercraft','','','','FRBR, RDA, FRAD and related vocabularies'
/society/dating,'/society/social institution/marriage','/hobbies and interests/reading',Relationship,'Interpersonal relationship','',People
'/technology and computing/programming languages/java','/technology and computing/programming languages/javascript','','Web 2.0','Web service','Semantic Web',Protocols
'/law, govt and politics/government/state and local government','/law, govt and politics/government','/technology and computing/software/databases',Organization,Government,Management,'Social organization'
'/technology and computing/software/databases','/technology and computing','/science/computer science/artificial intelligence',Semantics,'Semantic Web',Linguistics,'Vocabularies, Languages and Terminologies'
'/technology and computing/hardware/computer components/chips and processors','/education/english as a second language','/technology and computing/software',Internet,Microsoft,Topology,PLM
'/technology and computing/software/databases','/education/english as a second language','/family and parenting/children','World Wide Web','Semantic Web','Tim Berners-Lee',Quality
'/education/adult education','/art and entertainment/radio/radio programs','/art and entertainment/radio',Vocabulary,'','',Multimedia
'/science/ecology/waste management/recycling','/science/social science/linguistics','/society/social institution/marriage','','','','Support vocabularies'
'/technology and computing/hardware/computer components/chips and processors','/technology and computing/software/databases','/education/english as a second language','','','','RDF Data'
'/technology and computing/software/databases',/science/geography,/science/geology,Geography,'Geographic information system','Spatial analysis',Geography
'/business and industrial/business operations/business plans','/technology and computing/software/databases','/technology and computing','Resource Description Framework',Metadata,'','Archives, Catalogs, Classification systems'
'/technology and computing/hardware/computer networking/wireless technology','/technology and computing/networking/vpn and remote access','/technology and computing/data centers','','','',Security
'/technology and computing','/education/english as a second language','/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders/cameras',Hyperlink,'World Wide Web',Microsoft,People
/science/mathematics/algebra,'/technology and computing/internet technology/web search/people search','/hobbies and interests/reading',Lexicography,'','','RDF Data'
'/style and fashion/jewelry/earrings','/style and fashion/jewelry/bracelets','/style and fashion/jewelry/necklaces','Web 2.0','User-generated content','Maurice White','Support vocabularies'
'/business and industrial/biomedical','','',Metaphysics,Ontology,Existence,Geography
'/technology and computing/programming languages/java','/technology and computing/software','','','','','Vocabularies, Languages and Terminologies'
'/technology and computing/software','/science/computer science/software engineering','/education/english as a second language','Project management',Management,'Systems engineering',PLM
/science/mathematics/geometry,'/education/english as a second language','/hobbies and interests/reading','Infrastructure for Spatial Information in the European Community',INSPIRE,'',Geography
/society/welfare/healthcare,'/hobbies and interests/getting published/freelance writing','/technology and computing/software/databases','','','',Health
'','','',Ontology,'Semantic Web',WordNet,'Archives, Catalogs, Classification systems'
'/law, govt and politics/government/parliament','/technology and computing/software/databases','/technology and computing/programming languages/java','Lawrence Lessig','','',Metadata
